hidden_layers,activation_function,epochs,learning_rate,batch_size,accuracy
[4],Identity,250,1.0,32,0.7853658536585366
[4],Identity,250,1.0,64,0.848780487804878
[4],Identity,250,1.0,128,0.8097560975609757
[4],Identity,250,1.0,256,0.8195121951219512
[4],Identity,250,1.0,512,0.8439024390243902
[4],Identity,250,0.1,16,0.8390243902439024
[4],Identity,250,0.1,32,0.7804878048780488
[4],Identity,250,0.1,64,0.8195121951219512
[4],Identity,250,0.1,128,0.8146341463414634
[4],Identity,250,0.1,256,0.8097560975609757
[4],Identity,250,0.1,512,0.8
[4],Identity,250,0.01,16,0.824390243902439
[4],Identity,250,0.01,32,0.8146341463414634
[4],Identity,250,0.01,64,0.8097560975609757
[4],Identity,250,0.01,128,0.8195121951219512
[4],Identity,250,0.01,256,0.8292682926829268
[4],Identity,250,0.01,512,0.8146341463414634
[4],Identity,250,0.001,16,0.8097560975609757
[4],Identity,250,0.001,32,0.8097560975609757
[4],Identity,250,0.001,64,0.8097560975609757
[4],Identity,250,0.001,128,0.8097560975609757
[4],Identity,250,0.001,256,0.8097560975609757
[4],Identity,250,0.001,512,0.8048780487804879
[4],Identity,250,0.0001,16,0.8146341463414634
[4],Identity,250,0.0001,32,0.8048780487804879
[4],Identity,250,0.0001,64,0.8195121951219512
[4],Identity,250,0.0001,128,0.8097560975609757
[4],Identity,250,0.0001,256,0.7853658536585366
[4],Identity,250,0.0001,512,0.6341463414634146
[4],Sigmoid,1,10.0,16,0.5121951219512195
[4],Sigmoid,1,10.0,32,0.7414634146341463
[4],Sigmoid,1,10.0,64,0.7414634146341463
[4],Sigmoid,1,10.0,128,0.7707317073170732
[4],Sigmoid,1,10.0,256,0.4878048780487805
[4],Sigmoid,1,10.0,512,0.3024390243902439
[4],Sigmoid,1,1.0,16,0.7951219512195122
[4],Sigmoid,1,1.0,32,0.7951219512195122
[4],Sigmoid,1,1.0,64,0.824390243902439
[4],Sigmoid,1,1.0,128,0.8097560975609757
[4],Sigmoid,1,1.0,256,0.4878048780487805
[4],Sigmoid,1,1.0,512,0.4878048780487805
[4],Sigmoid,1,0.1,16,0.8536585365853658
[4],Sigmoid,1,0.1,32,0.848780487804878
[4],Sigmoid,1,0.1,64,0.8097560975609757
[4],Sigmoid,1,0.1,128,0.8341463414634146
[4],Sigmoid,1,0.1,256,0.775609756097561
[4],Sigmoid,1,0.1,512,0.5121951219512195
[4],Sigmoid,1,0.01,16,0.8390243902439024
[4],Sigmoid,1,0.01,32,0.7804878048780488
[4],Sigmoid,1,0.01,64,0.7658536585365854
[4],Sigmoid,1,0.01,128,0.6195121951219512
[4],Sigmoid,1,0.01,256,0.4634146341463415
[4],Sigmoid,1,0.01,512,0.5414634146341464
[4],Sigmoid,1,0.001,16,0.4878048780487805
[4],Sigmoid,1,0.001,32,0.4878048780487805
[4],Sigmoid,1,0.001,64,0.4878048780487805
[4],Sigmoid,1,0.001,128,0.5121951219512195
[4],Sigmoid,1,0.001,256,0.5121951219512195
[4],Sigmoid,1,0.001,512,0.4878048780487805
[4],Sigmoid,1,0.0001,16,0.5121951219512195
[4],Sigmoid,1,0.0001,32,0.4
[4],Sigmoid,1,0.0001,64,0.5024390243902439
[4],Sigmoid,1,0.0001,128,0.47317073170731705
[4],Sigmoid,1,0.0001,256,0.23902439024390243
[4],Sigmoid,1,0.0001,512,0.3902439024390244
[4],Sigmoid,10,10.0,16,0.4878048780487805
[4],Sigmoid,10,10.0,32,0.7902439024390244
[4],Sigmoid,10,10.0,64,0.7121951219512195
[4],Sigmoid,10,10.0,128,0.8097560975609757
[4],Sigmoid,10,10.0,256,0.7853658536585366
[4],Sigmoid,10,10.0,512,0.7463414634146341
[4],Sigmoid,10,1.0,16,0.8390243902439024
[4],Sigmoid,10,1.0,32,0.8146341463414634
[4],Sigmoid,10,1.0,64,0.8829268292682927
[4],Sigmoid,10,1.0,128,0.8390243902439024
[4],Sigmoid,10,1.0,256,0.848780487804878
[4],Sigmoid,10,1.0,512,0.8878048780487805
[4],Sigmoid,10,0.1,16,0.8829268292682927
[4],Sigmoid,10,0.1,32,0.926829268292683
[4],Sigmoid,10,0.1,64,0.8829268292682927
[4],Sigmoid,10,0.1,128,0.8829268292682927
[4],Sigmoid,10,0.1,256,0.8682926829268293
[4],Sigmoid,10,0.1,512,0.8439024390243902
[4],Sigmoid,10,0.01,16,0.8536585365853658
[4],Sigmoid,10,0.01,32,0.8390243902439024
[4],Sigmoid,10,0.01,64,0.8292682926829268
